Language_ID	Form	Tokens	Meaning	Position	Type	Gloss	ShortName	EDICTOR	Remark
EasternLuobuohe	pə⁰⁵	p ə ⁰/⁵	syn	^	Affix	noun	pə	-:noun/pə	
EasternLuobuohe	tə⁰²	t ə ⁰/²	syn	^	Affix		tə	-:Affix/tə	appears both in adj and noun
EasternLuobuohe	qo⁰⁵	q o ⁰/⁵	syn	^	Affix	noun	qo	-:noun/qo	
EasternLuobuohe	ʔa⁰²	ʔ a ⁰/²	syn	^	Affix	noun	ʔa	-:noun/ʔa	
EasternLuobuohe	puŋ⁵⁵	p u ŋ ⁵⁵	auto			SHOOT		SHOOT	射
EasternLuobuohe	va²⁴	v a ²⁴	auto			EMBRACE		EMBRACE	抱
EasternLuobuohe	mphe²⁴	ⁿpʰ e ²⁴	auto			LACK (NOT HAVE)		LACK (NOT HAVE)	缺
EasternLuobuohe	ʔmuŋ³¹	ʔmuŋ³¹	auto			SICK		SICK	病
EasternLuobuohe	ʔwen³¹	ˀw e n ³¹	auto			DUSTPAN		DUSTPAN	簸箕
EasternLuobuohe	wa⁵⁵	w a ⁵⁵	auto			TILE		TILE	瓦
EasternLuobuohe	phzɿ⁵⁵	pʰ z i ⁵⁵	auto						烧
EasternLuobuohe	mpzɿ⁵⁵	ⁿp z i ⁵⁵	auto						"抿; absent in the raw data."
EasternLuobuohe	pja³¹	p j a ³¹	auto			FIVE		FIVE	五
EasternLuobuohe	vjɛ⁵⁵	v j ɛ ⁵⁵	auto			MUROID (MOUSE OR RAT)		MUROID (MOUSE OR RAT)	
EasternLuobuohe	mpjhe³³	ⁿpʰ j e ³³	auto			DAUGHTER		DAUGHTER	女儿
EasternLuobuohe	mja²⁴	m j a ²⁴	auto			SOFT		SOFT	软
EasternLuobuohe	phləu³³	pʰ l əu ³³	auto						揭
EasternLuobuohe	mple²⁴	p l e ²⁴	auto			BUTTERFLY		BUTTERFLY	"蝴蝶; inconsistent"
EasternLuobuohe	mble³³	ⁿb l e ³³	auto			TONGUE		TONGUE	舌
EasternLuobuohe	tsho³³	ⁿtsʰ o ³³	auto						"堵; 堵塞；inconsistent"
EasternLuobuohe	pha²⁴	pʰ a ²⁴	auto			SPLIT		SPLIT	劈
EasternLuobuohe	mpa⁵⁵	ⁿp a ⁵⁵	auto			REPAIR		REPAIR	补
EasternLuobuohe	mbu²⁴	ⁿb u ²⁴	auto						蒙
EasternLuobuohe	ma⁵⁵	m a ⁵⁵	auto			BUY		BUY	买
EasternLuobuohe	faŋ³³	f a ŋ ³³	auto			ANGULAR (SQUAREFORMED)		ANGULAR (SQUAREFORMED)	方
EasternLuobuohe	pzi³¹	p z i ³¹	auto			THREE		THREE	三
EasternLuobuohe	vzaŋ³¹	v z a ŋ ³¹	auto						齐
EasternLuobuohe	mbzɿ³¹	ⁿb z ɿ ³¹	auto			STRIKE OR BEAT		STRIKE OR BEAT	拍
EasternLuobuohe	pjhɛ³¹	pʰ j ɛ ³¹	auto			BLOW (WITH MOUTH)		BLOW (WITH MOUTH)	吹
EasternLuobuohe	mbjɛ³¹	ⁿb j ɛ ³¹	auto						青
EasternLuobuohe	mbja³³	ⁿb j a ³³	auto			SPICY		SPICY	辣
EasternLuobuohe	pləu³¹	p l əu ³¹	auto			FOUR		FOUR	四
EasternLuobuohe	vlaŋ³¹	v l a ŋ ³¹ 	auto						手掌
EasternLuobuohe	mphlen³¹	ⁿpʰ l e n ³¹ 	auto						戒指
EasternLuobuohe	tsy⁵⁵	ts y ⁵⁵	auto						"祖宗;祖父 or 祖母"
EasternLuobuohe	ntsa²⁴	ⁿts a ²⁴	auto			BORROW		BORROW	借
EasternLuobuohe	ntshie²⁴	ⁿtsʰ ie ²⁴	auto			FEAR (BE AFRAID)		FEAR (BE AFRAID)	怕
EasternLuobuohe	sa³¹	s a ³¹	auto			TWIST		TWIST	搓
EasternLuobuohe	tha²⁴	tʰ a ²⁴	auto			PULL OFF (SKIN)		PULL OFF (SKIN)	脱（皮）
EasternLuobuohe	ntuŋ²⁴	ⁿt u ŋ ²⁴	auto			FLOAT		FLOAT	戴
EasternLuobuohe	ndəu²⁴	ⁿd əu ²⁴	auto			WALK		WALK	走
EasternLuobuohe	nuŋ³¹	n u ŋ ³¹	auto			EAT		EAT	吃
EasternLuobuohe	ɬe³³	ɬ e ³³	auto			KILL		KILL	杀
EasternLuobuohe	tɕe²⁴	tɕ e ²⁴	auto			KNOW (SOMEBODY)		KNOW (SOMEBODY)	认识
EasternLuobuohe	ʑa³³	ʑ a ³³	auto			EIGHT		EIGHT	八
EasternLuobuohe	ȵtɕha⁵⁵	ⁿtɕʰ a ⁵⁵	auto						泼（水）
EasternLuobuohe	ʔȵaŋ⁵⁵	ˀȵ a ŋ ⁵⁵	auto			WANT		WANT	要
EasternLuobuohe	ʔʑo²⁴	ˀʑ o ²⁴	auto			SMALL		SMALL	小
EasternLuobuohe	ʈo²⁴	ʈ o ²⁴	auto			SIX		SIX	六
EasternLuobuohe	ʐo³³	ʐ o ³³	auto						慌
EasternLuobuohe	ɳʈhuŋ³¹	ⁿʈʰ u ŋ ³¹	auto						裹腿
EasternLuobuohe	ɳo³¹	ɳ o ³¹	auto			SEED		SEED	种子
EasternLuobuohe	ku⁵⁵	k u ⁵⁵	auto			CARRY		CARRY	抬
EasternLuobuohe	ji²⁴	j i ²⁴	auto			COMB		COMB	梳子
